Name,Year,Category,Countries,Gender,Description,Details
Frédéric Passy,1901,Peace,France,Man,,
Sully Prudhomme,1901,Literature,France,Man,,
Emil Adolf von Behring,1901,Physiology or Medicine,Germany,Man,,
Wilhelm Röntgen,1901,Physics,Germany,Man,,
Jacobus Henricus van 't Hoff,1901,Chemistry,Netherlands,Man,,
Henry Dunant,1901,Peace,Switzerland,Man,,
Hermann Emil Fischer,1902,Chemistry,Germany,Man,,
Theodor Mommsen,1902,Literature,Germany,Man,,
Ronald Ross,1902,Physiology or Medicine,"India, United Kingdom",Man,,
Hendrik Lorentz,1902,Physics,Netherlands,Man,,
Pieter Zeeman,1902,Physics,Netherlands,Man,,
Charles Albert Gobat,1902,Peace,Switzerland,Man,,
Élie Ducommun,1902,Peace,Switzerland,Man,,
Henri Becquerel,1903,Physics,France,Man,,
Randal Cremer,1903,Peace,United Kingdom,Man,,
Niels Ryberg Finsen,1903,Physiology or Medicine,"Denmark, Faroe Islands",Man,,
Pierre Curie,1903,Physics,France,Man,,
Bjørnstjerne Bjørnson,1903,Literature,Norway,Man,,
Svante Arrhenius,1903,Chemistry,Sweden,Man,,
Lord Rayleigh,1904,Physics,United Kingdom,Man,,
Frédéric Mistral,1904,Literature,France,Man,,
Ivan Pavlov,1904,Physiology or Medicine,Russia and Soviet Union,Man,,
José Echegaray,1904,Literature,Spain,Man,,
William Ramsay,1904,Chemistry,United Kingdom,Man,,
Adolf von Baeyer,1905,Chemistry,Germany,Man,,
Robert Koch,1905,Physiology or Medicine,Germany,Man,,
Philipp Lenard,1905,Physics,"Germany, Hungary",Man,,
Henryk Sienkiewicz,1905,Literature,"Poland, Russia and Soviet Union",Man,,
Henri Moissan,1906,Chemistry,France,Man,,
Camillo Golgi,1906,Physiology or Medicine,Italy,Man,,
Giosuè Carducci,1906,Literature,Italy,Man,,
Santiago Ramón y Cajal,1906,Physiology or Medicine,Spain,Man,,
J. J. Thomson,1906,Physics,United Kingdom,Man,,
Theodore Roosevelt,1906,Peace,United States,Man,,
Charles Louis Alphonse Laveran,1907,Physiology or Medicine,France,Man,,
Louis Renault,1907,Peace,France,Man,,
Eduard Buchner,1907,Chemistry,Germany,Man,,
Rudyard Kipling,1907,Literature,"India, United Kingdom",Man,,
Ernesto Teodoro Moneta,1907,Peace,Italy,Man,,
Albert Abraham Michelson,1907,Physics,"Poland, United States",Man,,
Fredrik Bajer,1908,Peace,Denmark,Man,,
Gabriel Lippmann,1908,Physics,"France, Luxembourg",Man,,
Paul Ehrlich,1908,Physiology or Medicine,Germany,Man,,
Rudolf Christoph Eucken,1908,Literature,Germany,Man,,
Ernest Rutherford,1908,Chemistry,"New Zealand, United Kingdom, Canada",Man,,
Élie Metchnikoff,1908,Physiology or Medicine,Russia and Soviet Union,Man,,
Klas Pontus Arnoldson,1908,Peace,Sweden,Man,,
Emil Theodor Kocher,1909,Physiology or Medicine,Switzerland,Man,,
Auguste Marie François Beernaert,1909,Peace,Belgium,Man,,
Paul-Henri-Benjamin d'Estournelles de Constant,1909,Peace,France,Man,,
Karl Ferdinand Braun,1909,Physics,Germany,Man,,
Wilhelm Ostwald,1909,Chemistry,Germany,Man,,
Guglielmo Marconi,1909,Physics,Italy,Man,,
Albrecht Kossel,1910,Physiology or Medicine,Germany,Man,,
Otto Wallach,1910,Chemistry,Germany,Man,,
Paul Heyse,1910,Literature,Germany,Man,,
Johannes Diderik van der Waals,1910,Physics,Netherlands,Man,,
Alfred Hermann Fried,1911,Peace,Austria,Man,,
Maurice Maeterlinck,1911,Literature,Belgium,Man,,
Wilhelm Wien,1911,Physics,Germany,Man,,
Tobias Asser,1911,Peace,Netherlands,Man,,
Allvar Gullstrand,1911,Physiology or Medicine,Sweden,Man,,
Alexis Carrel,1912,Physiology or Medicine,France,Man,,
Paul Sabatier,1912,Chemistry,France,Man,,
Victor Grignard,1912,Chemistry,France,Man,,
Gerhart Hauptmann,1912,Literature,Germany,Man,,
Gustaf Dalén,1912,Physics,Sweden,Man,,
Elihu Root,1912,Peace,United States,Man,,
Henri La Fontaine,1913,Peace,Belgium,Man,,
Charles Richet,1913,Physiology or Medicine,France,Man,,
Alfred Werner,1913,Chemistry,"France, Switzerland",Man,,
Rabindranath Tagore,1913,Literature,India,Man,,
Heike Kamerlingh Onnes,1913,Physics,Netherlands,Man,,
Robert Bárány,1914,Physiology or Medicine,"Austria, Hungary",Man,,
Max von Laue,1914,Physics,Germany,Man,,
Theodore W. Richards,1914,Chemistry,United States,Man,,
William Lawrence Bragg,1915,Physics,"Australia, United Kingdom",Man,,
Romain Rolland,1915,Literature,France,Man,,
Richard Willstätter,1915,Chemistry,Germany,Man,,
William Henry Bragg,1915,Physics,United Kingdom,Man,,
Verner von Heidenstam,1916,Literature,Sweden,Man,,
Henrik Pontoppidan,1917,Literature,Denmark,Man,,
Karl Adolph Gjellerup,1917,Literature,Denmark,Man,,
Charles Glover Barkla,1917,Physics,United Kingdom,Man,,
Fritz Haber,1918,Chemistry,Germany,Man,,
Max Planck,1918,Physics,Germany,Man,,
Jules Bordet,1919,Physiology or Medicine,Belgium,Man,,
Johannes Stark,1919,Physics,Germany,Man,,
Carl Spitteler,1919,Literature,Switzerland,Man,,
Woodrow Wilson,1919,Peace,United States,Man,,
August Krogh,1920,Physiology or Medicine,Denmark,Man,,
Léon Bourgeois,1920,Peace,France,Man,,
Walther Nernst,1920,Chemistry,Germany,Man,,
Knut Hamsun,1920,Literature,Norway,Man,,
Charles Édouard Guillaume,1920,Physics,Switzerland,Man,,
Anatole France,1921,Literature,France,Man,,
Albert Einstein,1921,Physics,"Germany, Switzerland",Man,,
Christian Lous Lange,1921,Peace,Norway,Man,,
Hjalmar Branting,1921,Peace,Sweden,Man,,
Frederick Soddy,1921,Chemistry,United Kingdom,Man,,
Niels Bohr,1922,Physics,Denmark,Man,,
Otto Fritz Meyerhof,1922,Physiology or Medicine,Germany,Man,,
Fridtjof Nansen,1922,Peace,Norway,Man,,
Jacinto Benavente,1922,Literature,Spain,Man,,
Francis William Aston,1922,Chemistry,United Kingdom,Man,,
Archibald Hill,1922,Physiology or Medicine,United Kingdom,Man,,
Fritz Pregl,1923,Chemistry,Austria,Man,,
Frederick Banting,1923,Physiology or Medicine,Canada,Man,,
John James Rickard Macleod,1923,Physiology or Medicine,"Canada, United Kingdom",Man,,
W. B. Yeats,1923,Literature,Ireland,Man,,
Robert Andrews Millikan,1923,Physics,United States,Man,,
Manne Siegbahn,1924,Physics,Sweden,Man,,
Willem Einthoven,1924,Physiology or Medicine,Netherlands,Man,,
Władysław Reymont,1924,Literature,"Poland, Russia and Soviet Union",Man,,
Richard Adolf Zsigmondy,1925,Chemistry,"Austria, Hungary",Man,,
Gustav Ludwig Hertz,1925,Physics,Germany,Man,,
James Franck,1925,Physics,Germany,Man,,
George Bernard Shaw,1925,Literature,"Ireland, United Kingdom",Man,,
Austen Chamberlain,1925,Peace,United Kingdom,Man,,
Charles G. Dawes,1925,Peace,United States,Man,,
Johannes Fibiger,1926,Physiology or Medicine,Denmark,Man,,
Aristide Briand,1926,Peace,France,Man,,
Jean Baptiste Perrin,1926,Physics,France,Man,,
Gustav Stresemann,1926,Peace,Germany,Man,,
Theodor Svedberg,1926,Chemistry,Sweden,Man,,
Julius Wagner-Jauregg,1927,Physiology or Medicine,Austria,Man,,
Ferdinand Buisson,1927,Peace,France,Man,,
Henri Bergson,1927,Literature,France,Man,,
Heinrich Otto Wieland,1927,Chemistry,Germany,Man,,
Ludwig Quidde,1927,Peace,Germany,Man,,
Charles Thomson Rees Wilson,1927,Physics,United Kingdom,Man,,
Arthur Compton,1927,Physics,United States,Man,,
Charles Nicolle,1928,Physiology or Medicine,France,Man,,
Adolf Otto Reinhold Windaus,1928,Chemistry,Germany,Man,,
Owen Willans Richardson,1928,Physics,United Kingdom,Man,,
Louis de Broglie,1929,Physics,France,Man,,
Thomas Mann,1929,Literature,Germany,Man,,
Hans von Euler-Chelpin,1929,Chemistry,"Germany, Sweden",Man,,
Christiaan Eijkman,1929,Physiology or Medicine,Netherlands,Man,,
Arthur Harden,1929,Chemistry,United Kingdom,Man,,
Frederick Gowland Hopkins,1929,Physiology or Medicine,United Kingdom,Man,,
Frank B. Kellogg,1929,Peace,United States,Man,,
Karl Landsteiner,1930,Physiology or Medicine,Austria,Man,,
Hans Fischer,1930,Chemistry,Germany,Man,,
C. V. Raman,1930,Physics,India,Man,,
Nathan Söderblom,1930,Peace,Sweden,Man,,
Sinclair Lewis,1930,Literature,United States,Man,,
Carl Bosch,1931,Chemistry,Germany,Man,,
Friedrich Bergius,1931,Chemistry,Germany,Man,,
Otto Heinrich Warburg,1931,Physiology or Medicine,Germany,Man,,
Erik Axel Karlfeldt,1931,Literature,Sweden,Man,,
Nicholas Murray Butler,1931,Peace,United States,Man,,
Werner Heisenberg,1932,Physics,Germany,Man,,
Charles Scott Sherrington,1932,Physiology or Medicine,United Kingdom,Man,,
Edgar Adrian,1932,Physiology or Medicine,United Kingdom,Man,,
John Galsworthy,1932,Literature,United Kingdom,Man,,
Irving Langmuir,1932,Chemistry,United States,Man,,
Erwin Schrödinger,1933,Physics,Austria,Man,,
Ivan Bunin,1933,Literature,"France, Russia and Soviet Union",Man,,
Norman Angell,1933,Peace,United Kingdom,Man,,
Paul Dirac,1933,Physics,United Kingdom,Man,,
Thomas Hunt Morgan,1933,Physiology or Medicine,United States,Man,,
Luigi Pirandello,1934,Literature,Italy,Man,,
Arthur Henderson,1934,Peace,United Kingdom,Man,,
Harold Urey,1934,Chemistry,United States,Man,,
William P. Murphy,1934,Physiology or Medicine,United States,Man,,
George Minot,1934,Physiology or Medicine,United States,Man,,
